timestamp,logger,category,event_type,command_text,mode,cycle,team,server_ip,server_port,latency_ms,duration_sec,status,response,message
2026-04-08 14:50:44.688,tcp_client,session,log_file_name,,,,,,,,,,,Log file name: tcp_client_log_20260408_145044.txt
2026-04-08 14:50:44.689,tcp_client,session,log_file_path,,,,,,,,,,,Log file path: /home/dota/team_scripts/tcp_connection_08042026/TCP_Client/tcp_client_log_20260408_145044.txt
2026-04-08 14:50:44.689,tcp_client,other,generic,,,,,,,,,,,"Using default server targets: ['172.19.123.40', '172.19.126.193', '172.19.139.77', '172.19.142.242']"
2026-04-08 14:50:44.689,tcp_client,other,generic,,,,,,,,,,,"Controller starting: client_name=oaserver, default_server_port=5000, connect_timeout=30.0, command_timeout=30.0, send_timeout=30.0, reconnect_interval=20.0, heartbeat_interval=20.0, heartbeat_idle_after=20.0, heartbeat_timeout=15.0, targets=['172.19.123.40', '172.19.126.193', '172.19.139.77', '172.19.142.242']"
2026-04-08 14:50:44.689,tcp_client,other,generic,,,,,,,,,,,Tracking/connecting to servers:
,,other,unparsed,,,,,,,,,,,"[2026-04-08 14:50:44.701]   ✅ 172.19.123.40:5000  (# 1, Team A)"
,,other,unparsed,,,,,,,,,,,"[2026-04-08 14:50:44.711]   ✅ 172.19.126.193:5000  (# 2, Team A)"
,,other,unparsed,,,,,,,,,,,"[2026-04-08 14:50:44.772]   ✅ 172.19.139.77:5000  (# 3, Team A)"
,,other,unparsed,,,,,,,,,,,"[2026-04-08 14:50:44.782]   ✅ 172.19.142.242:5000  (# 4, Team A)"
2026-04-08 14:50:44.786,tcp_client,other,generic,,,,,,,,,,,Commands (latency commands apply to all currently connected servers unless noted):
,,other,unparsed,,,,,,,,,,,[2026-04-08 14:50:44.787]   servers                           -> list tracked servers (connected + reconnecting)
,,other,unparsed,,,,,,,,,,,[2026-04-08 14:50:44.788]   server <ip1> <ip2> ...            -> replace the tracked server list with a new set
,,other,unparsed,,,,,,,,,,,"[2026-04-08 14:50:44.789]   connect to <ip1>, <ip2>, ...      -> add more servers and start background reconnect if needed"
,,other,unparsed,,,,,,,,,,,[2026-04-08 14:50:44.789]   delete <number>                   -> remove server + renumber
,,other,unparsed,,,,,,,,,,,[2026-04-08 14:50:44.789]   move <number> to A|B              -> move a server to another team
,,other,unparsed,,,,,,,,,,,[2026-04-08 14:50:44.789]   swap <n1> <n2>                    -> swap teams of two servers (example: swap 2 7)
,,other,unparsed,,,,,,,,,,,[2026-04-08 14:50:44.789]   set <ms>                          -> send SET_LATENCY <ms> to connected servers
,,other,unparsed,,,,,,,,,,,"[2026-04-08 14:50:44.789]   start_latency_loop                -> prompt duration + 4 latency values, then loop forever"
,,other,unparsed,,,,,,,,,,,[2026-04-08 14:50:44.789]   start_latency_loop <mm:ss|sec> <lat1> <lat2> <lat3> <lat4>
,,other,unparsed,,,,,,,,,,,[2026-04-08 14:50:44.789]   start_exp baseline [obs=0|1]
,,other,unparsed,,,,,,,,,,,[2026-04-08 14:50:44.790]   start_exp shuffle <mm:ss|sec> <array_no> [obs=0|1]
,,other,unparsed,,,,,,,,,,,[2026-04-08 14:50:44.790]   start_exp default <mm:ss|sec> <array_no> <team> [team] [obs=0|1]
